id,TARGET_poverty,total_population,total_men,total_women,percent_hispanic,percent_white,percent_black,percent_native,percent_asian,percent_pacific,income_gross,income_per_capita,percent_employ_professional,percent_employ_service,percent_employ_office,percent_employ_construction,percent_employ_production,percent_travel_drive,percent_travel_carpool,percent_travel_walk,percent_travel_other,percent_work_at_home,total_employed,percent_employed_private,percent_employed_public,percent_employed_self,percent_employed_family,percent_unemployment
1,11.6,9321,4677,4644,1.5,96.7,0.7,0,0.2,0,51422,27906,33.1,16.9,14.6,12.7,22.8,76.2,8.5,5.3,1.7,8.1,4695,77.1,12,10.7,0.2,2.9
2,19.8,163368,80330,83038,42.7,52.4,1.6,0.5,0.7,0.1,42386,23110,31.3,21.4,25.6,9.6,12.1,81.5,11.2,2.1,1.2,2.9,66165,76.6,17.9,5.3,0.2,9.3
3,9,10723,5398,5325,19,77.9,0.1,0.8,0.5,0,55504,29148,36.3,20.7,19.3,15.5,8.2,76.3,14.2,3.1,1,5.5,4670,70.4,17.5,11.8,0.3,6.4
4,13.7,25789,12902,12887,6.2,85.4,3.3,0.4,3.6,0,54181,30203,35.4,15.8,20.4,11,17.4,77.8,9.9,4.2,1.7,5.7,13863,80.1,12.3,7.2,0.3,3.6
5,5.7,385115,189365,195750,3.2,87.7,4.2,0.1,2.3,0,78380,35628,42.8,14.4,26,7.3,9.5,86.1,6.4,0.9,0.8,5.6,206974,87.2,8.8,3.9,0.1,3.6
6,27.7,6642,3279,3363,0.1,97.4,0.5,0.6,0.1,0,26898,15169,26.6,19.4,14.7,17.3,22.1,82.2,7.9,1.9,1.6,4.2,2240,64.4,22.1,13.5,0,12.1
7,22.8,2020,907,1113,45.1,50.2,0,0,0,0,32500,24370,27.5,27.9,15.3,22,7.3,75.7,12.1,2.8,2.1,7.4,619,66.2,25.5,8.2,0,5.2
8,16.1,66912,32181,34731,2.5,93.6,1.8,0.1,1.2,0,45374,23580,31.3,18.4,22.5,8.7,19.2,82.5,8.5,4.9,0.7,3,30123,80.6,14.1,5.2,0.1,5.7
9,16.8,62722,30405,32317,4.1,68.9,24.7,0.2,0.5,0,43622,22434,31,17,22.9,12.7,16.5,85,9.1,1,1.3,3.3,26360,77.1,17.5,5.2,0.2,10.5
10,16.5,24947,12291,12656,1.8,95,0.4,1.2,0.5,0,41461,23346,25.6,21.6,25.6,11.3,15.9,76.3,16.4,2,1.9,3.4,11068,74.3,17.1,8.3,0.2,7.1
11,12.3,32829,18235,14594,3.1,85,10.6,0.1,0.4,0,49717,24716,24.7,19.3,20,12.5,23.5,83.3,8.9,3.8,1.1,2.7,13296,79.8,14.3,5.7,0.2,4.4
