hair	feathers	eggs	milk	airborne	aquatic	predator	toothed	backbone	breathes	venomous	fins	legs	tail	domestic	catsize	type	name
Yes	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	4.0	No	No	Yes	mammal	aardvark
Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	4.0	Yes	No	Yes	mammal	antelope
No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	Yes	0.0	Yes	No	No	fish	bass
Yes	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	4.0	No	No	Yes	mammal	bear
Yes	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	4.0	Yes	No	Yes	mammal	boar
Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	4.0	Yes	No	Yes	mammal	buffalo
Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	4.0	Yes	Yes	Yes	mammal	calf
No	No	Yes	No	No	Yes	No	Yes	Yes	No	No	Yes	0.0	Yes	Yes	No	fish	carp
No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	Yes	0.0	Yes	No	No	fish	catfish
Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	4.0	No	Yes	No	mammal	cavy
Yes	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	4.0	Yes	No	Yes	mammal	cheetah
No	Yes	Yes	No	Yes	No	No	No	Yes	Yes	No	No	2.0	Yes	Yes	No	bird	chicken
No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	Yes	0.0	Yes	No	No	fish	chub
No	No	Yes	No	No	No	Yes	No	No	No	No	No	0.0	No	No	No	invertebrate	clam
No	No	Yes	No	No	Yes	Yes	No	No	No	No	No	4.0	No	No	No	invertebrate	crab
No	No	Yes	No	No	Yes	Yes	No	No	No	No	No	6.0	No	No	No	invertebrate	crayfish
No	Yes	Yes	No	Yes	No	Yes	No	Yes	Yes	No	No	2.0	Yes	No	No	bird	crow
Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	4.0	Yes	No	Yes	mammal	deer
